ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GEO_ID2,x,y,GEO_ID,FSF_Buildi,CountModEx,PcModExt,Fath_Build,year500,Per500Fath,Per100Fath,TOTPOP,TOTHOU,POVERT,UNEMP,FEMHH,DISABL,FORBORN,LIMENG,HISPAN,BLACK,ASIAN,INDIGE,OTHTWO,AGE65,AGE19,MHSAGE,MHSVAL,NOHSD,EXTRAC,AGREXT,RENTER,MOBHOM,NOAUTO,UNINSU,avgRainfal,ChangeDev,INTENS,IMPERV,VACAT
79019,79019,B5,G6350,S,1491936737,7919602,34.9799592,-101.3885581,ZCTA5 79019,-101.39288,34.98101,860Z200US79019,5542,353,0.063695417,1530,21,0.014,0.01,1914,802,0.037634409,0.006151743,0.027941176,0.093110872,0.021943574,0,0.090386625,0.006792059,0.001567398,0.010971787,0.044409613,0.23092999,0.275862069,58.4925187,127245.2504,0.081210191,0.004784689,0.114832536,0.148529412,0.104411765,0.004411765,0.082884822,530.7907013,0.018,11.44753661,0.193669327,0.12295082
76308,76308,B5,G6350,S,20329599,3676502,33.8548329,-98.5373,ZCTA5 76308,-98.53783,33.85678,860Z200US76308,7303,2760,0.377926879,7450,1739,0.233,0.179,20028,9499,0.163170038,0.025445448,0.04071094,0.105763367,0.081985221,0,0.162023168,0.093569003,0.018573996,0.003644897,0.097813062,0.148791692,0.266526862,49.86382777,164904.4654,0.050797546,0.014112903,0.014112903,0.440614867,0.013930587,0.046475321,0.120807075,738.6164544,2.387,14.96399998,39.85738902,0.020477816
76302,76302,B5,G6350,S,24442897,0,33.8661131,-98.4848431,ZCTA5 76302,-98.48484,33.86611,860Z200US76302,4679,1115,0.238298782,4692,556,0.118,0.077,11423,5256,0.166472747,0.025214835,0.101164929,0.168097605,0.055502057,0,0.217806181,0.103300359,0.045084479,0.002976451,0.093758207,0.170883306,0.26551694,45.51579148,127572.6496,0.122700199,0.023220691,0.031149707,0.402207235,0.004904966,0.06253832,0.124084953,741.1304864,3.752,15.00714285,31.87436077,0
77389,77389,B5,G6350,S,55084139,354019,30.1234693,-95.5170643,ZCTA5 77389,-95.50757,30.11512,860Z200US77389,14768,3230,0.218716143,13651,1023,0.075,0.04,41982,14090,0.070375143,0.027133202,0.027141582,0.065978841,0.209232528,0,0.288361679,0.069267781,0.042018008,0.004501929,0.16278405,0.10049545,0.339645562,20.08090845,356480.5375,0.035743552,0.069268858,0.069268858,0.197650208,0.089083879,0.001041047,0.11494472,1233.804801,21.96,16.75500021,31.44700094,0.059190031
77535,77535,B5,G6350,S,799805382,8664213,30.0548442,-94.9223165,ZCTA5 77535,-94.91568,30.05129,860Z200US77535,22017,12724,0.577917064,15351,2133,0.139,0.082,37418,11776,0.125527459,0.032745246,0.035825988,0.144420948,0.074322519,0,0.229087605,0.093457694,0.00764338,0.006681276,0.109145331,0.126302849,0.271206371,30.69735054,170814.8189,0.205300128,0.032041228,0.052207036,0.146810729,0.340915553,0.026537769,0.18895385,1417.486587,0.645,17.09999999,2.094748232,0.095510204
77407,77407,B5,G6350,S,51817050,1440825,29.6700035,-95.7080888,ZCTA5 77407,-95.71455,29.67656,860Z200US77407,26653,18219,0.683562826,21363,5153,0.241,0.146,73084,21363,0.059802806,0.034927561,0.04283789,0.057139338,0.449414373,0.012423767,0.203081386,0.292499042,0.320849981,0.000602047,0.110106179,0.065212632,0.334779158,13.30971774,232652.8716,0.086020043,0.029988944,0.031730238,0.223093955,0.016509434,0.038505968,0.138954658,1235.461989,35.952,16.43653855,41.13793803,0
77575,77575,B5,G6350,S,616692936,21351449,30.0810729,-94.7525647,ZCTA5 77575,-94.73667,30.07742,860Z200US77575,12681,6520,0.514155035,8803,1194,0.136,0.05,15796,6667,0.120176188,0.047611093,0.033380935,0.177653997,0.096923272,0,0.207520891,0.158331223,0.005001266,0.01050899,0.200873639,0.181058496,0.276019245,40.45035248,157762.4765,0.186510668,0.017420377,0.032025339,0.241699393,0.189932167,0.057479472,0.215792923,1456.241323,0.234,16.93128934,1.518628166,0.257276995
77304,77304,B5,G6350,S,103700995,5427271,30.3296052,-95.5116556,ZCTA5 77304,-95.51542,30.33094,860Z200US77304,15370,2095,0.136304489,11927,677,0.057,0.034,36700,15705,0.065777218,0.021549053,0.036435617,0.089466327,0.081989101,0,0.156212534,0.091089918,0.037547684,0.000790191,0.068147139,0.161634877,0.250463215,24.02632919,220660.5999,0.07590857,0.020815176,0.025634453,0.402737704,0.034422599,0.051197745,0.147548173,1215.223272,7.992,16.84774789,17.16130894,0.278054863
77385,77385,B5,G6350,S,56213411,1091655,30.1866824,-95.4290054,ZCTA5 77385,-95.42264,30.1894,860Z200US77385,12985,4123,0.317520216,10033,868,0.087,0.047,24771,9100,0.065045272,0.026941696,0.036862004,0.102256671,0.146461588,0,0.269024262,0.072342659,0.064066852,0.001049614,0.149166364,0.101852973,0.311977716,23.63472527,186619.0406,0.080863728,0.026490584,0.02711573,0.202032136,0.048204159,0.031309074,0.102297041,1242.300742,10.78,16.67636386,25.58221245,0.007861635
77554,77554,B5,G6350,S,80561585,85023620,29.2350099,-94.9244886,ZCTA5 77554,-94.92526,29.23958,860Z200US77554,13991,13569,0.969837753,9236,783,0.085,0.059,9001,10231,0.077757465,0.040439401,0.011870845,0.117120143,0.08832352,0,0.136429286,0.026774803,0.048105766,0.009554494,0.030441062,0.235418287,0.160426619,32.61836575,334759.7865,0.052417598,0.009550684,0.009984806,0.3328585,0,0.018993352,0.097077595,1168.245636,2.23,17.40312505,9.734775092,0.820568201
